Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
1,1,5,4,1169,0,4,3,67,3,1
2,2,3,4,5951,1,2,2,22,3,0
3,0,5,7,2096,1,3,3,49,2,1
4,1,3,3,7882,1,3,3,45,3,1
5,1,4,1,4870,1,2,3,53,3,0
6,0,3,7,9055,0,2,3,35,2,1
7,0,3,3,2835,3,4,3,53,3,1
8,2,3,2,6948,1,2,3,35,4,1
9,0,3,4,3059,4,3,1,61,2,1
10,2,5,1,5234,1,0,4,28,4,0
11,2,3,1,1295,1,1,2,25,3,0
12,1,3,10,4308,1,1,2,24,3,0
13,2,3,4,1567,1,2,2,22,3,1
14,1,5,1,1199,1,4,3,60,2,0
15,1,3,1,1403,1,2,2,28,3,1
16,1,3,4,1282,2,2,2,32,2,0
17,0,5,4,2424,0,4,3,53,3,1
18,1,1,10,8072,0,1,3,25,3,1
19,2,3,2,12579,1,4,2,44,4,0
20,0,3,4,3430,3,4,3,31,3,1
21,0,5,1,2134,1,2,3,48,3,1
22,1,3,4,2647,3,2,3,44,3,1
23,1,5,1,2241,1,1,3,48,2,1
24,2,5,2,1804,2,1,3,44,3,1
25,0,5,3,2069,0,2,4,26,3,1
26,1,3,3,1374,1,2,3,36,2,1
27,0,1,4,426,1,4,4,39,2,1
28,3,2,4,409,4,2,2,42,3,1
29,2,3,4,2415,1,2,3,34,3,1
30,1,4,10,6836,1,4,3,63,3,0
31,2,3,10,1913,4,1,4,36,3,1
32,1,3,3,4020,1,2,3,27,3,1
33,2,3,1,5866,2,2,3,30,3,1
34,0,5,10,1264,0,4,3,57,2,1
35,3,3,3,1474,1,1,2,33,4,1
36,2,5,4,4746,1,1,3,25,2,0
37,0,5,7,6110,1,2,3,31,3,1
38,3,3,4,2100,1,2,3,37,3,0
39,3,3,5,1225,1,2,3,37,3,1
40,2,3,4,458,1,2,3,24,3,1
41,0,3,4,2333,3,4,3,30,4,1
42,2,3,4,1158,3,2,1,26,3,1
43,2,4,6,6204,1,2,3,44,2,1
44,1,5,2,6187,2,3,4,31,3,1
45,1,5,2,6143,1,4,2,58,2,0
46,0,5,1,1393,1,1,2,35,4,1
47,0,3,4,2299,3,4,3,39,3,1
48,1,3,2,1352,3,0,2,23,1,1
49,0,5,1,7228,1,2,3,39,2,1
50,0,3,4,2073,2,2,2,28,3,1
51,2,4,3,2333,0,1,3,29,2,1
52,2,4,2,5965,1,4,3,30,4,1
53,0,3,4,1262,1,2,3,25,3,1
54,0,3,2,3378,0,2,3,31,3,1
55,2,4,1,2225,1,4,3,57,3,0
56,0,2,1,783,0,2,3,26,2,1
57,2,3,4,6468,0,0,3,52,4,0
58,0,5,4,9566,1,2,2,31,3,1
59,3,3,1,1961,1,4,2,23,4,1
60,1,5,3,6229,1,1,2,23,2,0
61,2,3,10,1391,1,2,4,27,3,1
62,2,5,4,1537,0,4,3,50,3,1
63,2,1,10,1953,1,4,3,61,4,0
64,2,1,10,14421,1,2,3,25,3,0
65,0,3,4,3181,1,1,2,26,3,1
66,0,3,6,5190,0,4,3,48,3,1
67,0,3,4,2171,1,1,2,29,3,1
68,2,3,1,1007,4,2,4,22,3,1
69,0,3,7,1819,1,2,3,37,3,0
70,0,3,4,2394,0,2,2,25,3,1
71,0,3,2,8133,1,2,2,30,3,1
72,0,5,4,730,0,4,3,46,2,1
73,1,5,0,1164,1,4,3,51,4,1
74,2,5,10,5954,1,3,2,41,2,1
75,1,3,7,1977,0,4,3,40,4,0
76,1,5,2,1526,1,4,3,66,4,1
77,1,3,4,3965,1,1,3,34,3,0
78,2,4,4,4771,1,3,3,51,3,1
79,0,1,2,9436,0,2,3,39,2,1
80,2,3,3,3832,1,1,4,22,3,1
81,0,3,4,5943,0,1,2,44,3,0
82,0,3,4,1213,3,4,3,47,3,1
83,0,3,10,1568,2,2,2,24,2,1
84,1,3,0,1755,1,4,2,58,2,1
85,1,3,4,2315,1,4,3,52,2,1
86,0,5,10,1412,1,2,2,29,4,1
87,2,5,3,1295,1,1,2,27,3,1
88,2,3,7,12612,2,2,3,47,3,0
89,1,3,1,2249,2,3,3,30,4,1
90,1,1,6,1108,1,3,3,28,3,0
91,0,5,4,618,1,4,3,56,3,1
92,1,5,2,1409,1,4,3,54,3,1
93,0,5,4,797,0,4,2,33,2,0
94,3,5,3,3617,0,4,3,20,3,1
95,2,3,1,1318,4,4,3,54,3,1
96,2,1,10,15945,1,1,3,58,3,0
97,0,5,7,2012,0,3,2,61,3,1
98,2,3,10,2622,2,2,3,34,3,1
99,2,5,4,2337,1,4,3,36,3,1
100,2,4,2,7057,0,3,3,36,4,1
101,0,3,1,1469,2,4,4,41,2,1
102,2,3,4,2323,1,3,3,24,3,1
103,0,4,4,932,1,2,2,24,3,1
104,2,5,3,1919,1,3,3,35,3,1
105,0,3,2,2445,0,1,4,26,3,1
106,2,5,0,11938,1,2,3,39,4,0
107,0,2,1,6458,1,4,3,39,4,0
108,2,3,1,6078,1,3,3,32,3,1
109,1,3,3,7721,0,1,2,30,3,1
110,2,3,10,1410,3,4,4,35,3,1
111,2,4,10,1449,2,4,1,31,3,1
112,3,3,7,392,1,1,2,23,3,1
113,2,3,1,6260,1,3,3,28,2,1
114,0,5,1,7855,1,2,2,25,3,0
115,1,3,4,1680,3,4,4,35,3,1
116,0,5,4,3578,0,4,3,47,3,1
117,1,3,4,7174,0,3,2,30,4,0
118,1,5,3,2132,0,1,2,27,3,1
119,1,5,3,4281,3,2,2,23,3,0
120,2,5,1,2366,3,3,1,36,4,1
121,1,3,4,1835,1,2,2,25,3,0
122,0,5,2,3868,1,4,2,41,4,1
123,0,3,3,1768,1,2,3,24,2,1
124,3,5,1,781,1,4,3,63,3,1
125,2,3,3,1924,0,1,2,27,3,0
126,1,5,1,2121,1,2,3,30,3,1
127,1,3,4,701,1,2,4,40,2,1
128,2,3,6,639,1,2,3,30,3,0
129,2,5,2,1860,1,0,3,34,4,1
130,1,5,1,3499,1,2,2,29,3,0
131,2,3,1,8487,0,3,2,24,3,1
132,1,4,7,6887,1,2,3,29,3,0
133,0,3,3,2708,1,1,3,27,2,1
