Case_no,checking_status,credit_history,purpose,credit_amount,saving_status,employment,personal_status,age,job,class
1,'<0','critical/other existing credit',4,1169,'no known savings','>=7','male single',67,'skilled',1
2,'0<=X<200','existing paid',4,5951,'<100','1<=X<4','female div/dep/mar',22,'skilled',0
3,'no checking','critical/other existing credit',7,2096,'<100','4<=X<7','male single',49,'unskilled resident',1
4,'<0','existing paid',3,7882,'<100','4<=X<7','male single',45,'skilled',1
5,'<0','delayed previously',10,4870,'<100','1<=X<4','male single',53,'skilled',0
6,'no checking','existing paid',7,9055,'no known savings','1<=X<4','male single',35,'unskilled resident',1
7,'no checking','existing paid',3,2835,'500<=X<1000','>=7','male single',53,'skilled',1
8,'0<=X<200','existing paid',2,6948,'<100','1<=X<4','male single',35,'high qualif/self emp/mgmt',1
9,'no checking','existing paid',4,3059,'>=1000','4<=X<7','male div/sep',61,'unskilled resident',1
10,'0<=X<200','critical/other existing credit',10,5234,'<100',unemployed,'male mar/wid',28,'high qualif/self emp/mgmt',0
11,'0<=X<200','existing paid',10,1295,'<100','<1','female div/dep/mar',25,'skilled',0
12,'<0','existing paid',1,4308,'<100','<1','female div/dep/mar',24,'skilled',0
13,'0<=X<200','existing paid',4,1567,'<100','1<=X<4','female div/dep/mar',22,'skilled',1
14,'<0','critical/other existing credit',10,1199,'<100','>=7','male single',60,'unskilled resident',0
15,'<0','existing paid',10,1403,'<100','1<=X<4','female div/dep/mar',28,'skilled',1
16,'<0','existing paid',4,1282,'100<=X<500','1<=X<4','female div/dep/mar',32,'unskilled resident',0
17,'no checking','critical/other existing credit',4,2424,'no known savings','>=7','male single',53,'skilled',1
18,'<0','no credits/all paid',1,8072,'no known savings','<1','male single',25,'skilled',1
19,'0<=X<200','existing paid',2,12579,'<100','>=7','female div/dep/mar',44,'high qualif/self emp/mgmt',0
20,'no checking','existing paid',4,3430,'500<=X<1000','>=7','male single',31,'skilled',1
21,'no checking','critical/other existing credit',10,2134,'<100','1<=X<4','male single',48,'skilled',1
22,'<0','existing paid',4,2647,'500<=X<1000','1<=X<4','male single',44,'skilled',1
23,'<0','critical/other existing credit',10,2241,'<100','<1','male single',48,'unskilled resident',1
24,'0<=X<200','critical/other existing credit',2,1804,'100<=X<500','<1','male single',44,'skilled',1
25,'no checking','critical/other existing credit',3,2069,'no known savings','1<=X<4','male mar/wid',26,'skilled',1
26,'<0','existing paid',3,1374,'<100','1<=X<4','male single',36,'unskilled resident',1
27,'no checking','no credits/all paid',4,426,'<100','>=7','male mar/wid',39,'unskilled resident',1
28,'>=200','all paid',4,409,'>=1000','1<=X<4','female div/dep/mar',42,'skilled',1
29,'0<=X<200','existing paid',4,2415,'<100','1<=X<4','male single',34,'skilled',1
30,'<0','delayed previously',1,6836,'<100','>=7','male single',63,'skilled',0
31,'0<=X<200','existing paid',1,1913,'>=1000','<1','male mar/wid',36,'skilled',1
32,'<0','existing paid',3,4020,'<100','1<=X<4','male single',27,'skilled',1
33,'0<=X<200','existing paid',10,5866,'100<=X<500','1<=X<4','male single',30,'skilled',1
34,'no checking','critical/other existing credit',1,1264,'no known savings','>=7','male single',57,'unskilled resident',1
35,'>=200','existing paid',3,1474,'<100','<1','female div/dep/mar',33,'high qualif/self emp/mgmt',1
36,'0<=X<200','critical/other existing credit',4,4746,'<100','<1','male single',25,'unskilled resident',0
37,'no checking','critical/other existing credit',7,6110,'<100','1<=X<4','male single',31,'skilled',1
38,'>=200','existing paid',4,2100,'<100','1<=X<4','male single',37,'skilled',0
39,'>=200','existing paid',5,1225,'<100','1<=X<4','male single',37,'skilled',1
40,'0<=X<200','existing paid',4,458,'<100','1<=X<4','male single',24,'skilled',1
41,'no checking','existing paid',4,2333,'500<=X<1000','>=7','male single',30,'high qualif/self emp/mgmt',1
42,'0<=X<200','existing paid',4,1158,'500<=X<1000','1<=X<4','male div/sep',26,'skilled',1
43,'0<=X<200','delayed previously',6,6204,'<100','1<=X<4','male single',44,'unskilled resident',1
44,'<0','critical/other existing credit',2,6187,'100<=X<500','4<=X<7','male mar/wid',30,'skilled',1
45,'<0','critical/other existing credit',2,6143,'<100','>=7','female div/dep/mar',58,'unskilled resident',0
46,'no checking','critical/other existing credit',10,1393,'<100','<1','female div/dep/mar',35,'high qualif/self emp/mgmt',1
47,'no checking','existing paid',4,2299,'500<=X<1000','>=7','male single',39,'skilled',1
